photo_file,waistband,shorts_colors,archetype,notes
jrnats25_C_5_Ryan_Zarras.jpg,black,black(0.70) + orange(0.25) + gold(0.05),frame + energy-element + graphic/silhouette,Black board shorts with fiery orange and gold flame graphics rising from the hem.
jrnats25_D_1_Calvin_Collins.jpg,black,pink(0.35) + light blue(0.30) + yellow(0.20) + magenta(0.15),frame + gradient + graphic/silhouette,"Multicolor gradient board shorts blending blue, pink, and yellow with a black waistband and small logo."
jrnats25_D_2_Bryan_Uth.jpg,black,maroon(0.60) + red(0.25) + gold(0.15),frame + pattern + trim/piping,Metallic maroon and red shorts with gold streak patterning and a black waistband frame.
jrnats25_D_3_Simon_Dobos.jpg,black,green(1.00),no frame + solid + graphic/silhouette,Solid dark green shorts with small logo and text graphics.
jrnats25_D_4_Edward_Turk.jpg,light blue,light blue(0.75) + navy(0.25),no frame + solid + block panels,Light blue shorts with a navy angled side panel.
jrnats25_D_5_Philip_Whitcomb.jpg,teal,teal(1.00),no frame + solid + none,Solid teal board shorts with a matching waistband and drawstring.
jrnats25_E_1_Torrey_Jackson.jpg,black,black(0.50) + white(0.30) + gray(0.20),frame + gradient + bands,Black-to-gray gradient shorts with a bold diagonal white band and black side panel.
jrnats25_E_2_Joe_Millslagle.jpg,black,red(0.55) + coral(0.20) + white(0.20) + light blue(0.05),frame + gradient + trim/piping,Red-to-white gradient board shorts with black waistband and curved black trim.
jrnats25_E_3_Juan_Guerrero.jpg,black,light blue(0.50) + navy(0.30) + white(0.20),frame + gradient + trim/piping,Blue-to-white gradient shorts with a black waistband and contrasting black side piping.
jrnats25_E_4_Sai_Venkatraman.jpg,black,black(0.60) + navy(0.25) + royal blue(0.10) + gold(0.05),frame + energy-element + graphic/silhouette,"Black shorts with blue energy-element swirls, gold trim, and a central emblem graphic."
jrnats25_E_5_Darius_Tobin.jpg,black,royal blue(0.45) + light blue(0.30) + white(0.25),frame + gradient + block panels,Blue-to-white gradient shorts with a black-and-white checkered panel and black waistband.
jrnats25_F_1_Alexander_Brown.jpg,charcoal,charcoal(0.55) + white(0.25) + yellow(0.12) + black(0.08),no frame + gradient + bands,Charcoal-to-white gradient board shorts with a diagonal yellow and black band accent.
jrnats25_F_2_Kentrell_Reynolds.jpg,green,white(0.70) + green(0.28) + gold(0.02),frame + solid + block panels,White shorts with a green side panel and gold logo accent.
jrnats25_F_3_Michael_Van.jpg,black,lavender(0.90) + black(0.10),frame + solid + trim/piping,Solid lavender board shorts with black waistband and side trim.
jrnats25_F_4_Tyler_Scott.jpg,black,white(0.70) + red(0.30),frame + pattern + graphic/silhouette,White board shorts with red floral/ornamental graphic pattern and black waistband.
jrnats25_F_5_Dalton_Bolin.jpg,black,navy(0.55) + charcoal(0.20) + yellow(0.15) + white(0.10),frame + gradient + bands,Navy-to-charcoal gradient shorts with yellow and white diagonal bands and a black waistband and graphic logo.
jrnats25_G_1_Jasper_Johnson.jpg,black,black(0.75) + pink(0.13) + teal(0.12),frame + solid + bands,Black shorts with diagonal teal and pink bands and a small logo graphic.
jrnats25_G_2_Trey_Morgan.jpg,royal blue,royal blue(0.90) + white(0.10),no frame + solid + graphic/silhouette,Royal blue shorts with white star and swirl graphic accents along the lower hem.
jrnats25_G_3_Gregory_Graham.jpg,royal blue,white(0.70) + light blue(0.20) + royal blue(0.10),frame + solid + block panels,White shorts with light blue side panel and royal blue trim framing the design.
jrnats25_G_4_Bryce_Parrott.jpg,black,black(1.00),no frame + solid + none,Solid black posing trunks with a competitor number disc.
jrnats25_G_5_Ramion_Hampton.jpg,black,charcoal(0.55) + gold(0.35) + black(0.10),frame + energy-element + graphic/silhouette,Charcoal-to-gold shorts with black frame and gold lightning/energy streak graphics.
jrnats25_H_1_Deandre_Benson.jpg,black,black(1.00),no frame + solid + none,Solid black posing trunks with a subtle sheen.
jrnats25_H_2_Emanuel_Abbage.jpg,black,lime(0.60) + black(0.35) + white(0.05),frame + pattern + trim/piping,Lime green shorts with black zebra-stripe pattern and white pinstripe accents framed by a black waistband.
jrnats25_H_3_Justin_Kitchen.jpg,black,charcoal(0.55) + gray(0.25) + lime(0.15) + white(0.05),frame + energy-element + graphic/silhouette,Charcoal-to-gray shorts with lime and white paint-splatter energy elements framed by a black waistband and side lines.
jrnats25_H_4_Rondell_Clark.jpg,purple,purple(0.50) + yellow(0.50),no frame + gradient + graphic/silhouette,Purple-to-yellow gradient shorts with yellow drawstring and a small circular logo graphic.
jrnats26_A_1_Kyle_Lavender.jpg,black,black(0.55) + coral(0.30) + white(0.15),frame + solid + block panels,Black shorts with a large coral side panel and a white front panel bordered in black.
jrnats26_A_2_Marcos_Quelix.jpg,black,yellow(0.80) + black(0.20),frame + solid + block panels,Solid yellow board shorts with black waistband and black side panel with logo.
jrnats26_A_3_Jorge_Estevez.jpg,black,red(0.50) + black(0.45) + white(0.05),frame + pattern + graphic/silhouette,"Red and black abstract patterned shorts with a black waistband, side framing, and a small graphic on the leg."
jrnats26_A_4_Rocco_Giannelli.jpg,black,white(0.60) + pink(0.20) + black(0.15) + magenta(0.05),frame + solid + block panels,White shorts with pink and black diagonal side panels and a black waistband.
jrnats26_A_5_Justin_Greene.jpg,black,white(0.85) + red(0.15),frame + pattern + trim/piping,"White shorts with cracked-texture pattern, red piping and black waistband."
jrnats26_B_1_Travis_Pelser.jpg,black,black(1.00),no frame + solid + none,Solid black posing trunks with matching waistband.
jrnats26_B_2_Kwame_Poku.jpg,royal blue,royal blue(0.85) + white(0.15),frame + pattern + trim/piping,"Royal blue shorts with a starry/speckled pattern, white side piping, and a small trident graphic."
jrnats26_B_3_Lucas_Francisco_daSilva.jpg,royal blue,royal blue(0.60) + white(0.20) + red(0.20),no frame + solid + block panels,Royal blue shorts with diagonal red and white side panels.
jrnats26_B_4_Orlando_Rosales.jpg,black,black(0.85) + gold(0.15),frame + solid + trim/piping,Black shorts with gold geometric line accents and a structural black frame.
jrnats26_B_5_Thomas_Somphanthabansouk.jpg,black,black(0.75) + white(0.25),frame + energy-element + graphic/silhouette,Black shorts with white paint-splatter energy design and a competitor number disc.
jrnats26_C_1_Sean_Fong.jpg,black,green(0.60) + white(0.25) + black(0.15),frame + solid + block panels,Green shorts with white and black side block panels framed by a black waistband and border.
jrnats26_C_2_Justin_Dumas.jpg,coral,coral(0.85) + red(0.15),no frame + solid + graphic/silhouette,Solid coral posing trunks with a small circular logo graphic on the leg.
jrnats26_C_3_Dakota-Wray_Wilkerson.jpg,black,black(0.50) + green(0.35) + lime(0.15),frame + pattern + graphic/silhouette,Black board shorts with a green tropical palm-leaf pattern across the lower front.
jrnats26_C_4_Lucas_Martini.jpg,black,royal blue(0.55) + navy(0.30) + light blue(0.15),frame + pattern + none,Blue camo-pattern board shorts with a black waistband and side framing.
jrnats26_C_5_Anderson_Moise.jpg,white,white(0.55) + orange(0.35) + coral(0.10),no frame + gradient + trim/piping,White-to-orange gradient shorts with contrasting orange lace-up trim and drawstring.
jrnats26_D_1_Bryan_Uth.jpg,black,lavender(0.85) + white(0.15),no frame + solid + trim/piping,Lavender board shorts with a white horizontal stripe near the hem and a small monogram logo.
jrnats26_D_2_Cole_Sweetser.jpg,red,navy(0.70) + red(0.15) + white(0.15),no frame + solid + bands,Navy board shorts with red waistband and white chevron band accent.
jrnats26_D_3_Adam_Cuellar.jpg,black,white(0.70) + black(0.30),frame + solid + block panels,White board shorts with black waistband and black side panels forming a structural frame.
jrnats26_D_4_Jordan_Carter.jpg,black,yellow(0.60) + white(0.20) + black(0.20),frame + solid + block panels,Yellow shorts with black side framing and white diagonal panel accents.
jrnats26_D_5_Gabe_Findley.jpg,black,royal blue(0.90) + white(0.10),frame + solid + trim/piping,"Royal blue shorts with black waistband and white piping along the sides, featuring a trident graphic."
jrnats26_E_1_Craver_King.jpg,navy,light blue(0.85) + navy(0.15),frame + solid + trim/piping,Light blue shorts with a dark navy waistband and side trim framing the design.
jrnats26_E_2_Enjley_Cineus.jpg,white,royal blue(0.50) + light blue(0.30) + white(0.20),no frame + gradient + none,Board shorts with a blue-to-white vertical gradient and a small circular logo patch.
jrnats26_E_3_Ben_Emerson.jpg,purple,purple(0.85) + white(0.15),no frame + gradient + trim/piping,Purple gradient shorts with white waistband trim and side stripe accents.
jrnats26_E_4_Brett_Brown.jpg,black,black(0.70) + charcoal(0.20) + gold(0.10),frame + solid + trim/piping,Black shorts with gold geometric linework and a small logo graphic on the leg.
jrnats26_E_5_Courtney_Ellis.jpg,navy,white(0.75) + navy(0.25),frame + solid + trim/piping,White board shorts with a navy waistband and navy side trim.
jrnats26_F_1_Jacob_Podrezov.jpg,black,black(0.50) + red(0.50),frame + gradient + trim/piping,"Black-to-red gradient shorts with a black waistband and red side trim, with a central circular emblem."
jrnats26_F_2_Kahlil_Nevett-_James.jpg,white,white(0.70) + black(0.30),no frame + pattern + none,White board shorts with a black tiger-stripe pattern and drawstring.
jrnats26_F_3_Bayley_Lewis.jpg,black,charcoal(0.50) + purple(0.35) + black(0.15),frame + energy-element + trim/piping,Charcoal shorts with purple lightning-style energy streaks and a black waistband frame.
jrnats26_F_4_Tyler_Waltz.jpg,gold,gold(1.00),no frame + solid + none,Solid gold posing trunks with matching waistband.
jrnats26_F_5_Kentrell_Reynolds.jpg,black,royal blue(0.85) + black(0.10) + yellow(0.05),frame + solid + trim/piping,Royal blue shorts with black waistband and side framing plus yellow diagonal accent stripes.
jrnats26_G_1_Dorian_Lee.jpg,black,charcoal(0.70) + black(0.30),frame + solid + trim/piping,Solid charcoal posing trunks with a black waistband and darker trim.
jrnats26_G_2_Carlos_Grullon.jpg,black,black(0.55) + red(0.45),frame + energy-element + none,Black shorts with red flame/energy streaks and a black waistband frame.
jrnats26_G_3_Robert_Berry.jpg,black,royal blue(0.45) + light blue(0.35) + black(0.20),frame + gradient + trim/piping,"Blue gradient board shorts with black waistband, side frame, and light blue trim panel."
jrnats26_G_4_Gregory_Graham.jpg,royal blue,white(0.60) + royal blue(0.25) + light blue(0.15),frame + gradient + block panels,"White shorts with blue side panel fading from royal to light blue, topped by a blue waistband."
jrnats26_G_5_Bryce_Parrott.jpg,red,coral(0.50) + white(0.30) + red(0.20),no frame + gradient + trim/piping,Coral-to-white gradient board shorts with red drawstring and horizontal red trim stripe.
jrnats26_H_1_Brady_Roberts.jpg,light blue,light blue(0.95) + white(0.05),no frame + solid + graphic/silhouette,Light blue shorts with a white side stripe and a trident graphic on the leg.
jrnats26_H_2_Lincon_Perez.jpg,black,black(0.85) + gold(0.15),frame + solid + trim/piping,Black shorts with gold line accents and a central emblem outlined in gold.
jrnats26_H_3_Jalen_Harris.jpg,black,black(0.75) + gold(0.25),frame + solid + graphic/silhouette,Black shorts with gold geometric line-art tribal patterning and a black waistband frame.
jrnats26_H_4_Emanuel_Abbage.jpg,black,lime(0.75) + black(0.25),frame + pattern + none,Lime green shorts with black tiger-stripe pattern and black waistband.
jrnats26_H_5_Jam_Howard.jpg,black,charcoal(0.75) + black(0.25),frame + solid + trim/piping,Charcoal gray shorts with black waistband and darker side paneling.
jrusa25_A_1_Michael_Quinones.jpg,black,coral(0.75) + black(0.25),frame + solid + bands,Coral shorts with a black waistband and diagonal black bands on the lower leg with a small logo.
jrusa25_A_2_Jorge_Estevez.jpg,black,black(0.85) + gold(0.10) + pink(0.05),frame + solid + graphic/silhouette,Black board shorts with a gold circular emblem and floral accents on the leg.
jrusa25_A_3_John_Hidalgo.jpg,royal blue,charcoal(0.70) + royal blue(0.20) + light blue(0.10),frame + solid + trim/piping,Charcoal shorts with royal and light blue side trim and a black framed waistband.
jrusa25_A_4_Frank_Xavier_Zappa.jpg,white,white(0.55) + royal blue(0.30) + light blue(0.15),no frame + gradient + trim/piping,White-to-blue gradient shorts with a subtle side stripe and circular logo.
jrusa25_B_1_Paulo_Campagnaro.jpg,black,red(0.65) + black(0.35),frame + pattern + graphic/silhouette,"Red board shorts with black marbled ink pattern, black waistband and side framing."
jrusa25_B_2_David_Carver.jpg,black,black(0.70) + yellow(0.25) + gold(0.05),frame + solid + bands,Black shorts with vertical yellow racing stripes and a gold logo emblem framed by black borders.
jrusa25_B_3_Joseph_Mazzotta.jpg,black,black(1.00),no frame + solid + none,Solid black posing trunks with a plain waistband.
jrusa25_B_4_Ronald_Procopio.jpg,black,green(0.45) + black(0.40) + white(0.15),frame + pattern + block panels,Black-framed board shorts with a green striped mid-panel and white accents.
jrusa25_B_5_Mathieu_Lekina.jpg,gold,gold(0.55) + white(0.40) + black(0.05),no frame + pattern + none,White and gold tribal geometric patterned board shorts with a drawstring.
jrusa25_C_1_Roddy_Doleman.jpg,red,red(0.50) + white(0.40) + tan/bone(0.10),no frame + gradient + block panels,Red-to-white gradient shorts with a white side panel and drawstring lacing.
jrusa25_C_2_Mohammad_Samardzic.jpg,black,royal blue(0.80) + black(0.20),frame + solid + trim/piping,Royal blue shorts with a black waistband and black structural side framing.
jrusa25_C_3_Torique_Smith.jpg,black,coral(0.65) + black(0.35),frame + gradient + graphic/silhouette,Coral shorts with black flame-like graphic and black waistband framing the design.
jrusa25_C_4_Justin_Dumas.jpg,black,black(0.55) + white(0.45),frame + pattern + graphic/silhouette,Black shorts with white geometric tribal pattern and a central animal graphic.
jrusa25_C_5_Axel_Rivera.jpg,black,royal blue(0.60) + white(0.25) + black(0.15),frame + gradient + trim/piping,Royal blue shorts fading to white at the hem with black waistband and side trim.
jrusa25_D_1_Joshua_Hernandez.jpg,black,black(1.00),no frame + solid + none,Solid black posing trunks with a competitor number disc.
jrusa25_D_2_Enjley_Cineus.jpg,black,white(0.65) + coral(0.20) + black(0.15),frame + solid + bands,White shorts with black waistband and a diagonal coral and black band across the leg.
jrusa25_D_3_Kyle_Haupt.jpg,black,coral(0.55) + black(0.20) + yellow(0.15) + red(0.10),frame + solid + block panels,Coral shorts with black waistband and diagonal yellow and black block panels on the leg.
jrusa25_D_4_Denys_Mykolenko.jpg,black,red(0.55) + black(0.30) + orange(0.15),frame + gradient + graphic/silhouette,Red-to-black gradient shorts with orange flame accents and a black waistband frame.
jrusa25_D_5_Ian_Pulgar-Vidal.jpg,black,white(0.60) + black(0.25) + red(0.15),frame + solid + block panels,"White board shorts with black upper panel, red diagonal accent stripe, and number disc."
jrusa25_E_1_Garrison_Smith.jpg,green,green(0.95) + white(0.05),no frame + solid + graphic/silhouette,Solid dark green shorts with a white bulldog logo graphic and drawstring.
jrusa25_E_2_Anton_Wallace_Jr..jpg,black,green(0.90) + black(0.10),frame + solid + trim/piping,Solid green board shorts with black waistband and black trim outlining the sides.
jrusa25_F_1_Pat_Jackson.jpg,black,orange(0.40) + teal(0.35) + black(0.15) + red(0.10),frame + pattern + block panels,Black-framed shorts with a vibrant orange and teal tribal pattern panel.
jrusa25_F_2_Yurii_Kliuts.jpg,black,orange(0.40) + black(0.30) + gold(0.20) + red(0.10),frame + gradient + trim/piping,Black-to-orange-to-gold gradient shorts with black waistband and white piping trim.
jrusa25_F_3_Brady_Roberts.jpg,light blue,light blue(0.75) + navy(0.25),no frame + solid + block panels,Light blue board shorts with a diagonal navy block panel on the lower right leg.
jrusa25_F_4_Maksym_Shevelin.jpg,black,black(0.55) + red(0.25) + white(0.20),frame + solid + block panels,"Black shorts with red and white lower block panels, white trim, and a black waistband."
jrusa25_F_5_Joe_Handlen.jpg,black,black(1.00),frame + solid + none,Solid black posing trunks with a black waistband and structural border.
jrusa26_A_1_Miles_Pines.jpg,royal blue,royal blue(0.85) + red(0.06) + yellow(0.05) + white(0.04),no frame + solid + block panels,"Royal blue shorts with red, white, and yellow block panels on the left side and a monogram logo."
jrusa26_A_2_Jessie_Flowers.jpg,black,red(0.85) + black(0.15),frame + solid + trim/piping,Solid red board shorts with black waistband and side trim lines.
jrusa26_A_3_Marcos_Licarly.jpg,black,purple(0.45) + white(0.35) + black(0.20),frame + gradient + trim/piping,Purple-to-white gradient board shorts with black side panel framing and a circular logo patch.
jrusa26_A_4_Anthony_Limcuando.jpg,red,red(0.95) + white(0.05),no frame + solid + trim/piping,Red shorts with white piping trim and a small crown-like logo on the front.
jrusa26_A_5_Justin_Greene.jpg,black,green(0.35) + teal(0.20) + purple(0.20) + black(0.15) + lime(0.10),frame + gradient + block panels,Gradient shorts fading green to teal to purple with black frame and vertical purple accent panels.
jrusa26_B_1_David_Carver.jpg,navy,red(0.70) + navy(0.25) + white(0.05),frame + solid + trim/piping,Red board shorts with navy waistband and upper panel separated by white curved piping.
jrusa26_B_2_Chris_Guzman.jpg,black,royal blue(0.50) + black(0.35) + white(0.15),frame + solid + block panels,Royal blue and black color-blocked board shorts with a white diagonal stripe and black waistband.
jrusa26_B_3_Tony_Hodge.jpg,red,red(0.80) + white(0.20),no frame + solid + bands,Red board shorts with diagonal white side stripe and horizontal white band.
jrusa26_B_4_Pierce_Steinruck.jpg,purple,purple(0.65) + white(0.35),no frame + gradient + block panels,Purple shorts fading to white at the hem with a white vertical side panel.
jrusa26_C_1_Mohammad_Samardzic.jpg,black,white(0.45) + yellow(0.40) + black(0.15),frame + gradient + block panels,White and yellow gradient board shorts with black waistband and angular panel accents.
jrusa26_C_2_Lucas_Martini.jpg,black,black(0.55) + red(0.45),frame + energy-element + none,Black shorts with red marbled energy flame pattern and black waistband.
jrusa26_D_1_Cole_Sweetser.jpg,red,navy(0.75) + red(0.15) + white(0.10),no frame + solid + block panels,Navy shorts with a red waistband and white chevron accent across the top.
jrusa26_D_2_Brett_Brown.jpg,black,red(0.65) + gold(0.30) + black(0.05),frame + pattern + trim/piping,Red and gold patterned shorts with metallic gold pinstripe trim and a black waistband.
jrusa26_D_3_Darran_Moore.jpg,black,teal(0.75) + black(0.15) + white(0.10),frame + solid + block panels,Teal shorts with black waistband and black-and-white angled side panels.
jrusa26_D_4_Jason_Johnson.jpg,black,charcoal(0.55) + black(0.30) + coral(0.15),frame + pattern + graphic/silhouette,Dark camo-patterned shorts with a coral chevron accent and a red crown-style logo.
jrusa26_D_5_Zack_Stewart.jpg,black,white(0.55) + charcoal(0.40) + black(0.05),no frame + gradient + graphic/silhouette,Charcoal-to-white gradient board shorts with a dark painterly top and small flame graphic on the leg.
jrusa26_E_1_Jeffrey_Ijor-Woodworth.jpg,black,black(0.50) + red(0.50),frame + pattern + graphic/silhouette,Red and black tiger-stripe shorts with a black waistband and white HB logo on the leg.
jrusa26_E_2_Shawn_Board.jpg,black,purple(0.80) + white(0.15) + black(0.05),frame + solid + trim/piping,Purple board shorts with a black waistband and white side trim plus a small logo graphic.
jrusa26_F_1_Justin_Kitchen.jpg,black,black(0.60) + purple(0.25) + charcoal(0.15),frame + energy-element + graphic/silhouette,Black shorts with purple lightning-style energy graphics and a structural black frame.
jrusa26_F_2_Lincon_Perez.jpg,black,royal blue(0.45) + lime(0.35) + black(0.20),frame + gradient + block panels,Black-framed shorts with a blue-to-lime vertical gradient body and dark side panel.
jrusa26_F_3_Tremaine_Grant.jpg,red,red(0.95) + white(0.05),no frame + solid + trim/piping,Solid red shorts with white drawstring and white side piping plus a small logo.
jrusa26_F_4_Nyja_Allen.jpg,black,yellow(0.75) + black(0.25),frame + solid + block panels,"Yellow shorts with black waistband, side panels, and a black crown-style logo graphic."
jrusa26_F_5_Brock_Moore.jpg,black,gray(0.85) + white(0.10) + charcoal(0.05),frame + gradient + trim/piping,"Gray gradient board shorts with black waistband, white side piping, and a trident graphic."
nats25_A_1_Damante_Watson.jpg,black,red(0.55) + black(0.35) + white(0.10),frame + pattern + graphic/silhouette,Red and black marbled shorts with a black waistband and white monogram graphic on the leg.
nats25_A_2_Andre_Batungbacal.jpg,black,black(0.60) + red(0.20) + royal blue(0.15) + yellow(0.05),frame + solid + trim/piping,Black shorts with yellow piping and red/blue lower panels.
nats25_A_3_Dominic_Lopez.jpg,black,black(0.70) + yellow(0.30),frame + solid + trim/piping,Black shorts with vertical yellow piping and trim inside a black frame.
nats25_A_4_Jorge_Estevez.jpg,red,black(0.60) + red(0.25) + white(0.15),frame + solid + block panels,Black shorts with red and white angular block panels and red piping.
nats25_A_5_Estephan_Fernandez.jpg,black,white(0.60) + black(0.25) + red(0.15),frame + solid + block panels,White shorts with black side panels and red trim framing the design.
nats25_B_1_Alex_Padron.jpg,black,maroon(0.65) + black(0.20) + white(0.15),frame + solid + block panels,Maroon shorts with black side panel and white diagonal trim under a black waistband.
nats25_B_2_Barakat_Altarawneh.jpg,black,light blue(0.70) + white(0.15) + black(0.10) + navy(0.05),frame + solid + block panels,Light blue shorts with black waistband and white/navy angular block panels at the top.
nats25_B_3_David_Price.jpg,white,white(0.50) + red(0.25) + black(0.15) + gray(0.10),no frame + graffiti + graphic/silhouette,"White shorts with a bold red, black, and gray abstract graphic print across the front."
nats25_B_4_Hisham_Alsamarrai.jpg,black,tan/bone(0.55) + black(0.35) + gold(0.10),frame + pattern + graphic/silhouette,"Tan and black board shorts with abstract angular patterns, black framing border, and a centered logo graphic."
nats25_B_5_Victor_Gomes_Escobar_Souto.jpg,black,coral(0.70) + white(0.20) + black(0.10),frame + gradient + graphic/silhouette,"Coral shorts fading to white at the hem with a black diagonal band and a small white logo, framed by a black waistband."
nats25_C_1_Mario_Moedano.jpg,black,black(0.75) + yellow(0.20) + gold(0.05),frame + pattern + graphic/silhouette,Black camo-textured shorts with a trident logo and a diagonal yellow accent stripe.
nats25_C_2_Natton_Thongthipvoravong.jpg,black,black(0.60) + yellow(0.40),frame + solid + block panels,Black shorts with a diagonal yellow block panel and a trident graphic on the leg.
nats25_C_3_Joshua_Caballero.jpg,green,green(0.80) + gold(0.20),no frame + solid + graphic/silhouette,Green shorts with ornate gold filigree graphic on the front leg.
nats25_C_4_Gerges_Morkos.jpg,royal blue,light blue(0.50) + white(0.35) + royal blue(0.15),no frame + gradient + none,Blue-to-white gradient shorts with a royal blue waistband and drawstring.
nats25_C_5_Michael_Fulton.jpg,white,light blue(0.60) + white(0.40),no frame + gradient + graphic/silhouette,White-to-light-blue gradient shorts with a small circular logo on the leg.
nats25_D_1_Roland_Kerr.jpg,black,black(0.70) + red(0.30),frame + solid + graphic/silhouette,Black shorts with a red dragon graphic on the thigh and black waistband.
nats25_D_2_Winceton_Edwards.jpg,black,black(0.70) + red(0.30),frame + pattern + graphic/silhouette,Black board shorts with red flame-like graphic patterns and black waistband.
nats25_D_3_Kyle_Mullen.jpg,coral,white(0.55) + coral(0.45),no frame + gradient + trim/piping,Coral-to-white gradient board shorts with white side trim and a small logo.
nats25_D_4_Jose_Marin.jpg,black,black(0.85) + yellow(0.15),frame + solid + trim/piping,Black shorts with yellow vertical side stripes and piping.
nats25_D_5_Mikhail_Alekseev.jpg,black,white(0.40) + orange(0.30) + black(0.20) + yellow(0.10),frame + energy-element + graphic/silhouette,Black waistband over flame-effect shorts fading from fire to white with a trident graphic.
nats25_E_1_Courtney_Wright.jpg,black,coral(0.60) + white(0.30) + black(0.10),frame + gradient + trim/piping,Coral-to-white gradient shorts with black waistband and black side trim.
nats25_E_2_Aundrew_Grote.jpg,black,black(0.65) + yellow(0.35),frame + solid + bands,Black shorts with vertical and horizontal yellow bands framed by a black border.
nats25_E_3_Chiedozie_Onyeagucha.jpg,black,white(0.55) + black(0.35) + orange(0.10),frame + solid + block panels,White shorts with black side panels and orange trim framing a two-tone design.
nats25_E_4_Jeffery_Samuels.jpg,lavender,lavender(0.85) + white(0.10) + black(0.05),frame + solid + trim/piping,Solid lavender shorts with white and black side trim/piping.
nats25_E_5_Shaquille_Coleman_Coleman.jpg,white,coral(0.55) + white(0.45),no frame + gradient + block panels,Coral-to-white gradient board shorts with white side panel and red trim stripes.
nats25_F_1_Damen_Evans.jpg,black,black(0.60) + yellow(0.40),frame + solid + block panels,Black shorts with bold diagonal yellow block panels and a black waistband.
nats25_F_2_Roland_Genesy.jpg,green,green(0.90) + gold(0.10),no frame + solid + graphic/silhouette,Solid green board shorts with a gold dragon graphic on the side.
nats25_F_3_Adwait_Deshpande.jpg,black,charcoal(0.85) + white(0.15),frame + solid + graphic/silhouette,Charcoal shorts with a black waistband and white abstract graphic across the upper front.
nats25_F_4_Jake_Collins.jpg,black,black(1.00),no frame + solid + none,Solid black posing trunks with a competitor number disc.
nats25_F_5_Zachary_Parsons.jpg,white,pink(0.40) + gold(0.30) + white(0.30),frame + gradient + trim/piping,Pink-to-gold gradient shorts with white waistband and side trim framing the design.
nats25_G_1_Steven_Sooby.jpg,black,pink(0.50) + purple(0.30) + black(0.20),frame + gradient + bands,"Pink-to-purple gradient shorts with black waistband and diagonal black bands, framed by black borders."
nats25_G_2_Mohamed_Hassanin.jpg,black,charcoal(0.60) + purple(0.20) + light blue(0.15) + black(0.05),frame + energy-element + graphic/silhouette,Charcoal shorts with purple and blue smoky energy graphics and a black waistband frame.
nats25_G_3_Michael_Arena.jpg,black,black(0.90) + red(0.10),frame + solid + trim/piping,Black board shorts with red piping accents along the side seams and pockets.
nats25_G_4_Michael_Powers.jpg,black,black(0.65) + gray(0.30) + red(0.05),frame + pattern + trim/piping,Black shorts with a cracked gray pattern panel on the upper thigh and red piping trim along the seams.
nats25_G_5_Quinn_Ottman.jpg,red,white(0.65) + red(0.25) + black(0.10),frame + solid + block panels,White shorts with red side panel and black trim framing.
